query,score,name,type,id,image,description,url,article
apples,238.6707763671875,Caramel apple,Thing,kg:/m/05qdst,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQQbWOvkEyxr4BOgqaPgkeLvQWo5yWzMSy_u_a1k9P-xPK8EeSx,,https://en.wikipedia.org/wiki/Caramel_apple,"Caramel apples or taffy apples are created by dipping or rolling apples-on-a-stick in hot caramel, sometimes then rolling them in nuts or other small savories or confections, and allowing them to cool. "
apples,107.3495712280273,Jack McClinton,Thing Person,kg:/m/05p5vhj,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmBTPzGq9MkhR14yFZTqTk2kO24m2ejiN8H6O_vsHM9pNkIomS,American basketball player,https://en.wikipedia.org/wiki/Jack_McClinton,"Jack Paul McClinton is an American former professional basketball player. McClinton played shooting guard for the University of Miami Hurricanes men's basketball team.
He was selected in the second round by the San Antonio Spurs in the 2009 NBA draft. "
apples,77.39955139160156,Apple,Thing,kg:/g/1hc0hm2vt,,Fruit,,
apples,66.07466125488281,Still Life with Apples,Thing VisualArtwork,kg:/m/0hgz9st,,Painting by Vincent van Gogh,,
apples,33.82624053955078,Appleseed,Movie Thing,kg:/m/0fx689,,2004 film,https://en.wikipedia.org/wiki/Appleseed_(2004_film),Appleseed is a 2004 Japanese animated post-apocalyptic science fiction film directed by Shinji Aramaki and based on the Appleseed manga created by Masamune Shirow. 
apples,11.69508934020996,Mark Appleyard,Thing Person,kg:/m/04ygq9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbF51gKUuof-Z8h3fwxPWTJT41QdADt9IDx1hwySY-DG0msEOH,,https://en.wikipedia.org/wiki/Mark_Appleyard,Mark Appleyard is a Canadian professional skateboarder. His favorite trick is a backside smith grind.
apples,7.0,Apples,Thing,kg:/g/1q5j2g30t,,,,
apples,7.0,Apples,Thing,kg:/g/1q5jczc08,,,,
apples,7.0,Apples,Thing VisualArtwork,kg:/g/11c3tg2cl_,,Artwork,,
apples,7.0,Apples,Movie Thing,kg:/m/0hn86jc,,Film,,
apples,7.0,Apples,Thing VisualArtwork,kg:/g/11c5xc0_bg,,,,
apples,7.0,Apples,Thing,kg:/g/11hcr72_fp,,,,
apples,7.0,Apples,Thing VisualArtwork,kg:/g/11cktgvd2r,,,,
apples,7.0,Apples,Thing VisualArtwork,kg:/g/11cktgwzc9,,Artwork,,
apricots,2725.5517578125,Apricot,Thing,kg:/m/0fnfy,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQUNZ6odbMEXAh-bzerTp1g-d9jWlAiAINSpDDMJGAz533pz6Jd,Fruit,https://en.wikipedia.org/wiki/Apricot,"An apricot is a fruit, or the tree that bears the fruit, of several species in the genus Prunus.
Usually, an apricot tree is from the species P. armeniaca, but the species P. brigantina, P. mandshurica, P. mume, P. zhengheensis and P. sibirica are closely related, have similar fruit, and are also called apricots."
apricots,235.8754272460938,Dried apricot,Thing,kg:/m/0hnqkmf,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQeLtpdQJPHN2UyvFJY9L6ijXnry9UnfPAvhN7HWUJbe69cJ38K,Dried fruit,https://en.wikipedia.org/wiki/Dried_apricot,"Dried apricots are a type of traditional dried fruit. When treated with sulfur dioxide, the color is vivid orange. Organic fruit not treated with sulfur vapor is darker in color and has a coarser texture. "
apricots,38.33016204833984,Apricots,Thing,kg:/g/11bc6402w_,,Plants,,
apricots,7.0,Apricots,Thing,kg:/g/1q5jqnbfh,,,,
apricots,7.0,Apricots,Thing MusicRecording,kg:/g/11c6cntvrk,,,,
apricots,7.0,Apricots,Thing MusicRecording,kg:/g/11bx8m0zps,,,,
apricots,7.0,Apricots,Thing MusicRecording,kg:/g/11gxs5k3k7,,,,
apricots,7.0,Apricots,Thing,kg:/g/11f_f34vq5,,,,
apricots,7.0,Apricots,Thing MusicRecording,kg:/m/0f1d3ht,,,,
apricots,7.0,Apricots,Thing MusicRecording,kg:/m/0f5dsb8,,,,
apricots,7.0,Apricots,Thing MusicRecording,kg:/g/11fjmcd7n3,,,,
apricots,7.0,Apricots,Thing VisualArtwork,kg:/g/11c3tg8j07,,Artwork,,
apricots,7.0,Apricots,Thing MusicRecording,kg:/m/0dtvdcd,,,,
apricots,7.0,Apricots,Thing,kg:/g/11f26dxwjg,,,,
apricots,7.0,Apricots,Thing MusicRecording,kg:/m/010ns9z,,,,
apricots,7.0,Apricots,Thing,kg:/g/1q5jzr8yl,,,,
artichokes,762.3182983398438,Artichoke,Thing,kg:/m/047v4b,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSpvuAOV5Lvd3hXEaVaBLmsKsFGofldu52LFrHY0Z19MKb-Esuc,Plants,https://en.wikipedia.org/wiki/Artichoke,"The globe artichoke, also known by the names French artichoke and green artichoke in the U.S., is a variety of a species of thistle cultivated as a food.
The edible portion of the plant consists of the flower buds before the flowers come into bloom. "
artichokes,105.6779098510742,Artichokes à la barigoule,Thing,kg:/g/11b7l1n65g,,Food,,
artichokes,59.26097106933594,The Silver Palate Cookbook,Book Thing,kg:/m/04ymhb6,,Book by Julee Rosso and Sheila Lukins,,
artichokes,23.79044151306152,Artichokes Will Grow in Mimongo,Movie Thing,kg:/m/0c1p2wy,,1996 film,https://en.wikipedia.org/wiki/Growing_Artichokes_in_Mimongo,"Growing Artichokes in Mimongo is a 1996 Italian independent comedy film directed by Fulvio Ottaviano.
For this film Ottaviano won a David di Donatello for best new director."
artichokes,8.956321716308594,Between Meals: An Appetite for Paris,Book Thing,kg:/m/04w7nzn,,Book by A. J. Liebling,,
artichokes,7.0,Artichokes,Thing,kg:/g/1q5jzsfrb,,,,
arugula,4386.841796875,Arugula,Thing,kg:/m/0mz_c,,Plants,,
arugula,3663.127685546875,Arugula,Thing,kg:/g/120vn9v6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5cH_SVf5_jy7yWjSRA9MB34LyYpvIgTvhEQbH_x1hpNl2olDW,Plants,,
arugula,1272.333129882812,Arugula,Thing,kg:/g/12111wnx,,Plants,,
arugula,470.361572265625,Eruca vesicaria,Thing,kg:/g/120ykr0h,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRe_n0jDmnmDb4Vb6NNaB-nIXOPU3qhusjRZbNG6Z_at2DEhYKu,Plants,https://en.wikipedia.org/wiki/Eruca_vesicaria,"Rocket or arugula is an edible annual plant in the family Brassicaceae used as a leaf vegetable for its fresh, tart, bitter, and peppery flavor. Other common names include garden rocket, and eruca. It is also called ""ruchtetta"", ""rucola"", ""rucoli"", ""rugula"", ""colewort"", and ""roquette"". "
arugula,76.84349060058594,Perennial Wall-rocket,Thing,kg:/m/03hhplq,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTbIHgnv3G6QD-jSpBsJ9zuPrk6qYRN0RIhVHK-45_HrYlaVz7p,Plants,https://en.wikipedia.org/wiki/Diplotaxis_tenuifolia,"Diplotaxis tenuifolia is a species of flowering plant in the mustard family known by the common name perennial wall-rocket. This plant is native to Europe and Western Asia. It can be found throughout much of the temperate world where it has naturalized.
"
arugula,26.15623092651367,Diplotaxis,Thing,kg:/m/092jlc,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQKKbBqlVO_sSEbFekrpLl7qchygvjz8pKBcmNL2JS6ixbdWP3j,Plants,https://en.wikipedia.org/wiki/Diplotaxis_(plant),"Diplotaxis is a genus of 32–34 species of flowering plants in the family Brassicaceae, native to Europe, the Mediterranean region and Macaronesia; the species diversity is highest in the Iberian Peninsula, North Africa and the Cape Verde archipelago. "
arugula,15.12048625946045,Arugula,Thing,kg:/g/11f630nv1g,,Food,,
arugula,7.0,Arugula,Thing,kg:/g/11f08hvc3c,,,,
asparagus,5314.85791015625,Garden asparagus,Thing,kg:/m/0cjs7,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRMZ2KA0GYthf9jFcZbUatAM-FxQw42gTd-_Y3Gv9nKCwWg9pgZ,Vegetable,https://en.wikipedia.org/wiki/Asparagus,"Asparagus, or garden asparagus, folk name sparrow grass, scientific name Asparagus officinalis, is a perennial flowering plant species in the genus Asparagus. Its young shoots are used as a spring vegetable.
It was once classified in the lily family, like the related Allium species, onions and garlic. "
asparagus,1594.944458007812,Shatavari,Thing,kg:/m/0fjvc6,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQzeL3gft_mRbTIJaEnzXsr0Sp7yuAdWR9PZJ1jNU4ayyjocaDP,Plants,https://en.wikipedia.org/wiki/Asparagus_racemosus,"Asparagus racemosus is a species of asparagus common throughout India and the Himalayas. It grows 1–2 m tall and prefers to take root in gravelly, rocky soils high up in piedmont plains, at 1,300–1,400 m elevation. It was botanically described in 1799. "
asparagus,1087.28369140625,Asparagus,Thing,kg:/m/02g7g2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6VtmUvEfdF0XdnUTye_b5TbshVbQnNxceX5Giz_MXxILB4V7G,Plants,https://en.wikipedia.org/wiki/Asparagus_(genus),"Asparagus is a genus of flowering plants in the family Asparagaceae, subfamily Asparagoideae. It comprises up to 300 species. Most are evergreen long-lived perennial plants growing from the understory as lianas, bushes or climbing plants. "
asparagus,940.6888427734375,Broccoli,Thing,kg:/m/09twn9b,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSu6rO9K25GfZpdSA9nzilDyFaPWTfbldL_GSTwFMX_X8I2X0YL,Plants,https://en.wikipedia.org/wiki/Broccoli,"Broccoli is an edible green plant in the cabbage family whose large flowering head and stalk is eaten as a vegetable. The word broccoli comes from the Italian plural of broccolo, which means ""the flowering crest of a cabbage"", and is the diminutive form of brocco, meaning ""small nail"" or ""sprout"".
"
asparagus,485.021728515625,Charles de Gaulle,Person Thing,kg:/m/0dj5q,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQDW9ybi4_SkCmU1FqaPDUB5l3P7ax6XavguPmQpaFpA1qCS4Fr,Former President of France,https://en.wikipedia.org/wiki/Charles_de_Gaulle,Charles André Joseph Marie de Gaulle was a French army officer and statesman who led the French Resistance against Nazi Germany in World War II and chaired the Provisional Government of the French Republic from 1944 to 1946 in order to reestablish democracy in France. 
asparagus,315.6512756347656,Cowpea,Thing,kg:/m/02gbqr,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSIxLfIrB2WWvbyaJUEcSM4QV8f_f8P0sJe8nAizoxGkPqyGZF_,Pulse,,
asparagus,229.6492767333984,Sprenger's asparagus,Thing,kg:/g/120t4kqm,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQVlV_sooSKFOvtQboRgiENuUCWG1JcOi39Qw5GecbzDLImoVJ9,Plants,https://en.wikipedia.org/wiki/Asparagus_aethiopicus,"Asparagus aethiopicus, Sprenger's asparagus, is a plant native to the Cape Provinces and the Northern Provinces of South Africa. "
asparagus,225.7595825195312,Cream of asparagus soup,Thing,kg:/m/011sp8v2,,Soup,https://en.wikipedia.org/wiki/Cream_of_asparagus_soup,"Cream of asparagus soup is a soup prepared with asparagus, stock and milk or cream as primary ingredients.
Ingredient variations exist. "
asparagus,221.7665252685547,Winged bean,Thing,kg:/m/050hyr,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSmO_v4-C29g9yx23S1a9w6c-vIUai47cP3U1_lGGQ_TK_vMEuA,Bean,https://en.wikipedia.org/wiki/Winged_bean,"The winged bean, also known as the goa bean, four-angled bean, four-cornered bean, manila bean, princess bean, cigarrillas, asparagus bean, dragon bean, chaukoni sem in Hindi, dara-dambala in Sinhala, and pois carre in French, is a tropical herbaceous legume plant. "
asparagus,195.067138671875,Yardlong bean,Thing,kg:/m/053sqf,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2zfO-0UDdBTH02lYHGHWjqlaBk888S509RjqPlCC7vdIWiLB8,Legume,https://en.wikipedia.org/wiki/Asparagus_bean,"The asparagus bean is a legume cultivated for its edible green pods containing immature seeds, like the green bean. It is also known as the yardlong bean, long-podded cowpea, Chinese long bean, bodi/bora, snake bean, or pea bean. "
asparagus,193.6531982421875,Common asparagus fern,Thing,kg:/m/025x3jr,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQG2-rF9eYwocHIyWyGlmyLf26bKzTgrUXQTbbEmxk0-ysjkZdk,Plants,https://en.wikipedia.org/wiki/Asparagus_setaceus,"Asparagus setaceus, commonly known as common asparagus fern, asparagus grass, lace fern, climbing asparagus, or ferny asparagus, is a climbing plant in the genus Asparagus. "
asparagus,149.9835205078125,Celtuce,Thing,kg:/m/062dl2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZvZo7FlM2TJ0yhLAvqq7szSCfZm6_aLAWUPCpd1g0rE_lILZ6,Plants,https://en.wikipedia.org/wiki/Celtuce,"Celtuce, also called stem lettuce, celery lettuce, asparagus lettuce, or Chinese lettuce, is a cultivar of lettuce grown primarily for its thick stem or its leaves. "
asparagus,110.7524871826172,Sauropus androgynus,Thing,kg:/m/0h7xzn,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfVL4vVkDULfvQLAY300egvBxC29Az8I4z6MnlcMWnDidhr4lp,Plants,https://en.wikipedia.org/wiki/Sauropus_androgynus,"Sauropus androgynus, also known as katuk, star gooseberry, or sweet leaf, is a shrub grown in some tropical regions as a leaf vegetable. "
asparagus,109.5372619628906,Asparagus officinalis subsp. officinalis,Thing,kg:/g/11bc6n1qfs,,Plants,,
asparagus,105.8826446533203,Asparagus Family,Thing,kg:/m/08w5nz,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTzB-BUHEQ8kW64fPAQbYDvVTT2SG1omh0Cu_eqZssRw9rFBWEY,Plants,https://en.wikipedia.org/wiki/Asparagaceae,"Asparagaceae is a family of flowering plants, placed in the order Asparagales of the monocots. Its best known member is Asparagus officinalis, garden asparagus."
asparagus,99.08634185791016,Asparagus acutifolius,Thing,kg:/m/0gxz_g9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGQYHg3MxHOK7C_cEdevii4bw3kycQb_k4JGGBmzIusPFMdFMP,Plants,https://en.wikipedia.org/wiki/Asparagus_acutifolius,"Asparagus acutifolius, common name wild asparagus, is an evergreen perennial plant belonging to the genus Asparagus. The specific epithet, acutifolius, meaning ""thorny leaves"", is derived from Latin acutus, and -folius, and refers to the characteristic shape of the leaves, a quite common feature in the typical plants of the Mediterranean."
asparagus,95.27999114990234,Gus the Theatrical Cat,Thing,kg:/m/0j1f_nt,,Fictional character,,
asparagus,82.41078186035156,Asparagus,CreativeWork Movie Thing,kg:/m/0vsh5m8,,1979 film,,
asparagus,76.11634063720703,Chinese asparagus,Thing,kg:/g/112ygckkb,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTmRbAAn-E-QN7k6W4jLqolrKUOglh9u8FxaiMDHB6-sz5PARaq,Plants,https://en.wikipedia.org/wiki/Asparagus_cochinchinensis,"Asparagus cochinchinensis is a species of plant, sometimes called ""Chinese asparagus"", in the subfamily Asparagoideae of the family Asparagaceae. No subspecies are listed in the Catalogue of Life."
asparagus,60.59062957763672,Good-king-Henry,Thing,kg:/m/047v00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSBTEywP88EMdplQ8-hgqDqgATvMhLMwpNQt0cHN97zbp5bSt_a,,https://en.wikipedia.org/wiki/Blitum_bonus-henricus,"Blitum bonus-henricus, also called Good-King-Henry, poor-man's asparagus, perennial goosefoot, Lincolnshire spinach, Markery, English mercury, or mercury goosefoot, is a species of goosefoot which is native to much of central and southern Europe.
"
avocados,403.9849243164062,Avocado,Thing,kg:/m/01645p,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR198aG0eRI11e9Nk_4HNRaZGwzeEoFULWf3rmlAa2TDwScWjD6,Fruit,https://en.wikipedia.org/wiki/Avocado,"The avocado, a tree with probable origin in south-central Mexico, is classified as a member of the flowering plant family Lauraceae. The fruit of the plant, also called an avocado, is botanically a large berry containing a single large seed.
Avocados are commercially valuable and are cultivated in tropical and Mediterranean climates throughout the world. They have a green-skinned, fleshy body that may be pear-shaped, egg-shaped, or spherical. Commercially, they ripen after harvesting. "
avocados,95.89402770996094,Avocados From Mexico,Thing Organization,kg:/g/11fy1y60p7,,,,
avocados,55.76497268676758,Avocado salad,Thing,kg:/g/11bv3p5m17,,Dish,,
bananas,6054.80078125,Banana,Thing,kg:/m/09qck,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3DzJu2kiWkc0c63_7abmF5RJQc8CQpvAX0ZXkdFXm8m2-Kb_8,Fruit,https://en.wikipedia.org/wiki/Banana,"A banana is an edible fruit – botanically a berry – produced by several kinds of large herbaceous flowering plants in the genus Musa. In some countries, bananas used for cooking may be called ""plantains"", distinguishing them from dessert bananas. "
bananas,584.1943969726562,Bananas,Thing,kg:/m/013xk6,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRmyuHCO_CA7zSRgNW01VltMvZjRigf4_jHHtAHAdkgv3LUGDXd,Plants,https://en.wikipedia.org/wiki/Musaceae,"Musaceae is a family of flowering plants composed of three genera with ca 91 known species, placed in the order Zingiberales. The family is native to the tropics of Africa and Asia. "
bananas,437.8367004394531,Ol' Dirty Bastard,Thing Person,kg:/m/01vxxqm,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQKEQFl7V7wzXT5Oi-2FL7gmUszexsdAJnzUrU_URsRPL16uku0,American rapper,https://en.wikipedia.org/wiki/Ol'_Dirty_Bastard,"Russell Tyrone Jones, better known by his stage name Ol' Dirty Bastard, was an American rapper and producer. He was one of the founding members of the Wu-Tang Clan, a rap group primarily from Staten Island, New York, which rose to mainstream prominence with its 1993 debut album Enter the Wu-Tang.
"
bananas,251.8498840332031,My Friend Pedro,Thing VideoGame,kg:/g/11g0slwjt4,,Video game,https://en.wikipedia.org/wiki/My_Friend_Pedro,My Friend Pedro is a shoot 'em up video game developed by DeadToast Entertainment and published by Devolver Digital. The game was released for Microsoft Windows and Nintendo Switch on 20 June 2019 and for Xbox One on 5 December 2019. 
bananas,179.6526031494141,Cavendish banana,Thing,kg:/m/0127p1gl,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSTFRHcY1EAd-2uZozYwF7nedwMQ1tS4vt4slV8IlOWlMqxN5iy,Plants,https://en.wikipedia.org/wiki/Cavendish_banana,"Cavendish bananas are the fruits of one of a number of banana cultivars belonging to the Cavendish subgroup of the AAA banana cultivar group. The same term is also used to describe the plants on which the bananas grow.
They include commercially important cultivars like 'Dwarf Cavendish' and 'Grand Nain'. Since the 1950s, these cultivars have been the most internationally traded bananas. They replaced the Gros Michel banana after it was devastated by Panama disease."
bananas,133.5045623779297,Joseph Bonanno,Thing Person,kg:/m/0g20l,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQZdjdi6Ti8uDrBfsHK-J9CBtGmi9MiN8Ve_g6T1HNzcYRCnO_E,,https://en.wikipedia.org/wiki/Joseph_Bonanno,"Joseph Charles Bonanno, sometimes referred to as Joe Bananas, was an Italian-born American crime boss of the Bonanno crime family, which he ran from 1931 to 1968.
"
bananas,119.9066848754883,Musa acuminata,Thing,kg:/m/02z2ywx,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSyxY_4G-EWo6lPdgotORL6NlNuh540yGnCU5bPnfOsefQwH9y-,Plants,https://en.wikipedia.org/wiki/Musa_acuminata,"Musa acuminata is a species of banana native to Southeast Asia. Many of the modern edible dessert bananas are from this species, although some are hybrids with Musa balbisiana. "
bananas,117.2088775634766,Latundan banana,Thing,kg:/m/0g5qvf1,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSK3aomdXlxvtsz7vm3BTCGWfjjQ1Y5PilAE60bkhrwraEgP74f,,https://en.wikipedia.org/wiki/Latundan_banana,"The Latundan banana is a triploid hybrid banana cultivar of the AAB ""Pome"" group from the Philippines. It is one of the most common banana cultivars in Southeast Asia and the Philippines, along with Lacatan and Saba bananas."
bananas,104.7057189941406,Plantain,Thing,kg:/m/0pmfqcv,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSzYCupqyaFFFt6AtVu_Tq3fR4EwzoOkMosU1VWfFFKdL_VLNFU,Plants,https://en.wikipedia.org/wiki/Musa_%C3%97_paradisiaca,Musa × paradisiaca is the accepted name for the hybrid between Musa acuminata and Musa balbisiana. Most cultivated bananas and plantains are triploid cultivars either of this hybrid or of M. acuminata alone. 
bananas,101.3163375854492,Banana,Thing,kg:/m/082q1c,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQOoFderQKTpLyf71VPqyQgDd0v2VZ3CGkLuGsjRCVvtZOFSdnt,Plants,https://en.wikipedia.org/wiki/Musa_(genus),"Musa is one of two or three genera in the family Musaceae; it includes bananas and plantains. Around 70 species of Musa are known, with a broad variety of uses.
"
bananas,67.99276733398438,Banana split,Thing,kg:/m/021nm2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVvNUTLRcy0ZPSv25RaA7hSQCzcPSgEaqOn9ec8OxXqtc0uQiG,,https://en.wikipedia.org/wiki/Banana_split,A banana split is an ice cream-based dessert. In its traditional form it is served in a long dish called a boat. A banana is cut in half lengthwise and laid in the dish. 
bananas,46.10626983642578,Cupcakes,Movie Thing,kg:/m/0v_p1z1,,2013 film,,
bananas,32.91637802124023,Bananas,MusicAlbum Thing,kg:/m/01hzv9r,,Studio album by Deep Purple,https://en.wikipedia.org/wiki/Bananas_(album),"Bananas is the 17th studio album by English rock band Deep Purple, released on 9 September 2003 via EMI Records and on 7 October 2003 via Sanctuary Records in the US. "
bananas,27.69679832458496,"Bananas, Beaches and Bases",Book Thing,kg:/m/080pksx,,Book by Cynthia Enloe,"https://en.wikipedia.org/wiki/Bananas,_Beaches_and_Bases","Bananas, Beaches and Bases: Making Feminist Sense of International Politics is a book by Cynthia Enloe. It was first published in 1990, with a revised edition published in 2014. "
bananas,24.60507583618164,Bananas,MusicAlbum Thing,kg:/m/0f3543n,,Album by Marvin Hamlisch,,
bananas,21.39284324645996,Bananas,Movie Thing,kg:/m/04t6jm,,1971 film,https://en.wikipedia.org/wiki/Bananas_(film),"Bananas is a 1971 American comedy film directed by Woody Allen and starring Allen, Louise Lasser, and Carlos Montalban. Written by Allen and Mickey Rose, the film is about a bumbling New Yorker who, after being dumped by his activist girlfriend, travels to a tiny Latin American nation and becomes involved in its latest rebellion. "
bananas,14.08623123168945,Red banana,Thing,kg:/m/03b_nbt,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQB2E2NjAdLg_9MrKiccpg2uoH42hYQcRyPvCsac9jGpllSBrX2,Plants,https://en.wikipedia.org/wiki/Red_banana,"Red bananas are a group of varieties of banana with reddish-purple skin. Some are smaller and plumper than the common Cavendish banana, others much larger. When ripe, raw red bananas have a flesh that is cream to light pink in color. "
bananas,10.43918609619141,Bananas B.,Thing,kg:/g/11gyxhhbwh,,Fictional character,,
bananas,9.527495384216309,Musa balbisiana,Thing,kg:/m/05c4qzm,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRGRWewStO663sljlu5hn3t89UJ-fU8Sr-eBdHDDtG0osEcz5-r,Plants,https://en.wikipedia.org/wiki/Musa_balbisiana,"Musa balbisiana is a wild-type species of banana native to eastern South Asia, northern Southeast Asia, and southern China. It is one of the ancestors of modern cultivated bananas, along with Musa acuminata. "
bananas,8.76528549194336,Abacá,Thing,kg:/m/0zsg,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTW8r3o6DEHslvy36fuSHHuqoS4sSLC-ZPJiq11atzwznfiI7sY,Plants,https://en.wikipedia.org/wiki/Abac%C3%A1,"Abacá, binomial name Musa textilis, is a species of banana native to the Philippines, grown as a commercial crop in the Philippines, Ecuador, and Costa Rica. "
bean sprouts,8800.05078125,Mung bean sprout,Thing,kg:/m/047cv3c,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-C9L4MScNgVGT-CpuhLJjnNARolXld_6IoNqYt-FmSQHh5FzT,Vegetable,https://en.wikipedia.org/wiki/Mung_bean_sprout,Mung bean sprouts are a culinary vegetable grown by sprouting mung beans. They can be grown by placing and watering the sprouted beans in the shade until the roots grow long. Mung bean sprouts are extensively cultivated and consumed in East Asia.
